순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
174,엑스맨: 아포칼립스,브라이언 싱어,이십세기폭스코리아(주),2016-05-25,미국,"1,262",24467887950,"2,938,818",7495864450,"847,621",액션,12세이상관람가,2,9500
175,프리즌,나현,(주)쇼박스,2017-03-23,한국,"1,047",23790276987,"2,931,897",5681060637,"679,455",범죄,청소년관람불가,1,9500
177,솔트,필립 노이스,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,미국,556,21719123025,"2,921,331",6529156500,"837,532",스릴러,15세이상관람가,3,8500
178,헬로우 고스트,김영탁,(주)넥스트엔터테인먼트월드(NEW),2010-12-22,한국,472,21154651779,"2,897,477",6343048000,"823,854",코미디,12세이상관람가,4,8500
179,원티드,티무르 베크맘베토브,유니버설픽쳐스인터내셔널 코리아(유),2008-06-26,미국,446,19258777000,"2,867,594",7021231500,"994,356",스릴러,청소년관람불가,2,7500
180,극비수사,곽경택,(주)쇼박스,2015-06-18,한국,894,22389535897,"2,860,786",5828885297,"717,981",드라마,15세이상관람가,2,9500
182,표적,창,씨제이이앤엠(주),2014-04-30,한국,665,22256359300,"2,841,788",5348606900,"652,750",액션,15세이상관람가,2,9500
183,앤트맨,페이튼 리드,월트디즈니컴퍼니코리아(주),2015-09-03,미국,949,23502249937,"2,839,921",7332839937,"840,337",액션,12세이상관람가,3,9500
184,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),2014-12-17,미국,926,24268487685,"2,836,774",7327248685,"809,402",어드벤처,12세이상관람가,4,9500
185,호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012-12-13,미국,"1,028",23436820716,"2,818,993",8241919216,"910,976",어드벤처,12세이상관람가,4,8500
186,메이즈 러너,웨스 볼,이십세기폭스코리아(주),2014-09-18,미국,648,21489367677,"2,812,427",6423264777,"805,570",액션,12세이상관람가,3,9500
187,해리 포터와 죽음의 성물1,데이빗 예이츠,워너브러더스 코리아(주),2010-12-15,미국,718,19906900266,"2,809,053",6430256500,"866,701",미스터리,전체관람가,4,8500
188,빅 히어로,"돈 홀,크리스 윌리암스",월트디즈니컴퍼니코리아(주),2015-01-21,미국,825,21993119765,"2,801,949",6512949165,"772,249",애니메이션,전체관람가,1,9500
189,덩케르크,크리스토퍼 놀란,워너브러더스 코리아(주),2017-07-20,미국,"1,252",24550541348,"2,788,732",9437670298,"986,967",액션,12세이상관람가,3,9500
190,혹성탈출: 진화의 시작,루퍼트 와이어트,이십세기폭스코리아(주),2011-08-17,미국,514,20629757000,"2,773,794",6637598000,"849,251",액션,12세이상관람가,3,8500
191,부당거래,류승완,씨제이엔터테인먼트,2010-10-28,한국,502,21326977937,"2,766,436",7587039000,"944,655",범죄,청소년관람불가,4,8500
193,메이즈 러너: 스코치 트라이얼,웨스 볼,이십세기폭스코리아(주),2015-09-16,미국,804,21596946349,"2,744,413",5743724849,"697,898",액션,12세이상관람가,3,9500
194,가디언즈 오브 갤럭시 VOL. 2,제임스 건,월트디즈니컴퍼니코리아 유한책임회사,2017-05-03,미국,"1,218",23452674686,"2,735,719",7669006186,"854,131",액션,12세이상관람가,2,9500
195,시라노; 연애조작단,김현석,롯데쇼핑㈜롯데엔터테인먼트,2010-09-16,한국,402,20171151599,"2,731,828",7068438000,"910,652",멜로/로맨스,12세이상관람가,3,8500
196,핸콕,피터 버그,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-07-02,미국,602,17854932333,"2,723,518",5977901000,"860,691",액션,12세이상관람가,3,7500
197,내가 살인범이다,정병길,(주)쇼박스,2012-11-08,한국,547,20338948000,"2,721,903",6313599000,"809,580",액션,청소년관람불가,4,8500
198,나우 유 씨 미 : 마술사기단,루이스 리테리어,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,미국,691,19146691869,"2,718,227",6322143282,"855,244",범죄,12세이상관람가,3,9500
199,미스 페레그린과 이상한 아이들의 집,팀 버튼,이십세기폭스코리아(주),2016-09-28,미국,904,21841214586,"2,718,158",6220296286,"737,280",미스터리,12세이상관람가,3,9500
200,적벽대전 2 : 최후의 결전,오우삼,(주)쇼박스,2009-01-22,중국,426,17910684413,"2,713,031",5181840500,"743,318",액션,15세이상관람가,1,8500
201,지.아이.조 : 전쟁의 서막,스티븐 소머즈,씨제이엔터테인먼트,2009-08-06,미국,446,19889126096,"2,706,748",5995248000,"774,359",액션,15세이상관람가,3,8500
202,타이탄,루이스 리테리어,워너브러더스 코리아(주),2010-04-01,미국,694,22143097429,"2,685,508",6821236500,"798,779",액션,12세이상관람가,2,8500
203,소원,이준익,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,한국,641,18251983100,"2,663,170",3769048600,"518,005",드라마,12세이상관람가,4,9500
204,살인자의 기억법,원신연,(주)쇼박스,2017-09-06,한국,"1,064",21361479492,"2,656,694",5389419142,"643,595",범죄,15세이상관람가,3,9500
205,브레이킹 던 part2,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2012-11-15,미국,665,18909583065,"2,654,817",5571602065,"745,970",드라마,15세이상관람가,4,8500
206,탐정 : 더 비기닝,김정훈,씨제이이앤엠(주),2015-09-24,한국,764,20463956973,"2,625,686",4092941173,"504,961",코미디,15세이상관람가,3,9500
207,미니언즈,"피에르 꼬팽,카일 발다",유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,미국,792,18997911278,"2,625,572",4787634178,"630,536",애니메이션,전체관람가,3,9500
208,후궁 : 제왕의 첩,김대승,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,한국,624,19250354500,"2,621,436",5525028500,"716,851",사극,청소년관람불가,2,8500
209,트랜스포머: 최후의 기사,마이클 베이,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,미국,"1,739",21501959228,"2,614,601",5273073728,"609,345",액션,12세이상관람가,2,9500
210,제이슨 본,폴 그린그래스,유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,미국,827,21253434663,"2,611,966",6707397843,"797,790",액션,15세이상관람가,3,9500
211,드래곤 길들이기,딘 데블로이스,씨제이엔터테인먼트,2010-05-20,미국,562,27471926367,"2,603,857",9508353500,"846,400",애니메이션,전체관람가,2,8500
212,도리를 찾아서,앤드류 스탠튼,월트디즈니컴퍼니코리아(주),2016-07-06,미국,"1,091",20703899933,"2,601,734",6199961913,"724,706",애니메이션,전체관람가,3,9500
213,위험한 상견례,김진영,롯데쇼핑㈜롯데엔터테인먼트,2011-03-31,한국,524,19174920500,"2,595,625",5930105000,"765,417",코미디,12세이상관람가,1,8500
214,아수라,김성수,씨제이이앤엠(주),2016-09-28,한국,"1,278",20576226662,"2,594,028",5577412282,"676,676",범죄,청소년관람불가,3,9500
215,굿모닝 프레지던트,장진,씨제이엔터테인먼트,2009-10-22,한국,586,18770889320,"2,583,294",6239306300,"815,403",코미디,전체관람가,4,8500
216,보안관,김형주,롯데쇼핑㈜롯데엔터테인먼트,2017-05-03,한국,"1,091",20697532509,"2,571,491",4093422209,"491,530",범죄,15세이상관람가,2,9500
217,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,한국,641,19894297783,"2,564,340",4534671083,"564,420",범죄,15세이상관람가,4,9500
218,퍼시픽 림,길예르모 델 토로,워너브러더스 코리아(주),2013-07-11,미국,"1,005",20477392512,"2,539,114",6769401012,"776,183",액션,12세이상관람가,3,9500
219,엑스맨: 퍼스트 클래스,매튜 본,이십세기폭스코리아(주),2011-06-02,미국,587,19063768000,"2,532,306",6847701000,"870,595",액션,12세이상관람가,2,8500
220,정글북,존 파브로,월트디즈니컴퍼니코리아(주),2016-06-09,미국,924,21457807134,"2,532,051",6360280354,"702,113",어드벤처,12세이상관람가,2,9500
221,마이펫의 이중생활,크리스 리노드,유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,3,9500
222,조작된 도시,박광현,씨제이이앤엠(주),2017-02-09,한국,"1,019",20119979587,"2,512,572",4696743687,"564,486",범죄,15세이상관람가,1,9500
223,반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,한국,466,17883988787,"2,471,721",4304602748,"568,409",멜로/로맨스,15세이상관람가,4,8500
224,보스 베이비,톰 맥그라스,씨제이이앤엠(주),2017-05-03,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,2,9500
225,화차,변영주,필라멘트픽쳐스,2012-03-08,한국,548,18450760000,"2,435,211",6041917500,"760,953",미스터리,15세이상관람가,1,8500
226,이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,한국,600,18087442369,"2,434,099",5411949754,"697,152",스릴러,청소년관람불가,3,8500
227,재심,김태윤,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,1,9500
228,의뢰인,손영성,(주)쇼박스,2011-09-29,한국,522,17797042500,"2,393,086",5652134000,"719,601",스릴러,15세이상관람가,3,8500
229,화이: 괴물을 삼킨 아이,장준환,(주)쇼박스,2013-10-09,한국,817,17678676795,"2,391,963",5419118695,"697,799",액션,청소년관람불가,4,9500
230,테이큰,피에르 모렐,㈜스튜디오이쩜영,2008-04-09,프랑스,254,15971389000,"2,379,830",5816455000,"825,364",범죄,청소년관람불가,2,7500
231,007 스카이폴,샘 멘데스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,미국,748,17487213000,"2,376,145",6160910500,"793,030",액션,15세이상관람가,4,8500
232,가문의 영광4 - 가문의 수난,정태원,(주)넥스트엔터테인먼트월드(NEW),2011-09-07,한국,537,17762035500,"2,363,955",4095559500,"516,319",코미디,15세이상관람가,3,8500
233,블라인드,안상훈,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,한국,404,18361430500,"2,362,906",5974758500,"736,580",스릴러,청소년관람불가,3,8500
