순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
"5,128 ",배틀걸: 피투성이 전기톱 소녀,,(주)아이브픽쳐스,2017-08-10,일본,1 ,4000,1 ,0,0 ,공포(호러),청소년관람불가,,
"5,129 ",백의의 난교클럽,아라키 타로,(주)도키엔터테인먼트,2016-10-01,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,130 ",뱅크레이디,크리스티앙 알바트,(주)에이원엔터테인먼트,2015-07-08,독일,1 ,5000,1 ,5000,1 ,액션,청소년관람불가,,
"5,131 ",버스 드라이버,브라이언 허즐링거,(주)제이에이와이이엔터테인먼트,2017-06-02,미국,1 ,1000,1 ,0,0 ,액션,청소년관람불가,,
"5,132 ",버진 사무라이,하뉴켄지,(주)예당씨앤에스,2016-01-14,일본,1 ,5000,1 ,0,0 ,코미디,청소년관람불가,,
"5,133 ",버크셔 전기톱 살인사건,오드리 커밍스,주식회사 루믹스미디어,2016-02-25,캐나다,1 ,5000,1 ,0,0 ,공포(호러),청소년관람불가,,
"5,134 ",벗겨보니 미망인,하마노 사치,(주)도키엔터테인먼트,2016-10-06,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,135 ",벚꽃독신녀의 정사,마츠히사 유메지,(주)도키엔터테인먼트,2016-02-24,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,136 ",베어풋,앤드류 플레밍,세도나아이(주),2016-07-21,미국,1 ,8000,1 ,0,0 ,드라마,15세이상관람가,,
"5,137 ",변강쇠 VS 어우동,정진호,(주)컨텐츠 빌리지,2017-10-18,한국,1 ,3000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,138 ",변태 남녀,나가에 타카미,(주)영진크리에이티브,2017-06-06,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,139 ",변태 엉덩이 정사,야마자키 쿠니노리,(주)도키엔터테인먼트,2016-11-10,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,140 ",변태가 된 내 아내,모리 히데토라,(주)영진크리에이티브,2017-06-14,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,141 ",변태부부의 침실,이케도리 유타카,(주)도키엔터테인먼트,2017-05-18,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,142 ",변태상담치료,쿠니사와 미노루,(주)도키엔터테인먼트,2016-06-22,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,143 ",변태여과장의 에로폭발,쿠니사와 미노루,(주)도키엔터테인먼트,2016-03-16,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,144 ",변태욕구,나쿠루 하라다,(주)영진크리에이티브,2017-01-31,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,145 ",변태정력왕 : 투명인간의탄생,오쿠 와타루,(주)에스와이미디어,2017-05-15,일본,1 ,5000,1 ,0,0 ,기타,청소년관람불가,,
